vrot	vout	theta_lower	theta_upper	std	skw
0	100	0.0	15.0	6.2242532469	-0.730539553447
100	100	0.0	15.0	6.55799637548	-0.692725863476
200	100	0.0	15.0	7.35190492169	-0.609358154785
300	100	0.0	15.0	8.50354937754	-0.502616922962
0	200	0.0	15.0	9.68022033743	-0.969190162475
100	200	0.0	15.0	9.81187914886	-0.945067227686
200	200	0.0	15.0	10.193353413	-0.905058681107
300	200	0.0	15.0	10.8044250515	-0.854391311271
0	300	0.0	15.0	13.2719605434	-1.12541040255
100	300	0.0	15.0	13.3067473609	-1.10634128568
200	300	0.0	15.0	13.5691143343	-1.08847602847
300	300	0.0	15.0	14.0075028526	-1.06358758651
0	100	15.0	30.0	6.24426292269	-0.815612987648
100	100	15.0	30.0	6.59673604866	-0.776695667083
200	100	15.0	30.0	7.54985217981	-0.697499259646
300	100	15.0	30.0	8.8898963298	-0.588314265619
0	200	15.0	30.0	10.0577082928	-0.975097629667
100	200	15.0	30.0	10.262854521	-0.926796913664
200	200	15.0	30.0	10.8204493062	-0.855566261475
300	200	15.0	30.0	11.6512211956	-0.784164486678
0	300	15.0	30.0	13.1802882964	-0.945545260228
100	300	15.0	30.0	13.2884205525	-0.934449596279
200	300	15.0	30.0	13.6385144801	-0.930184696921
300	300	15.0	30.0	14.2113581352	-0.928049698557
0	100	30.0	45.0	6.17165153683	-0.549052385108
100	100	30.0	45.0	6.6413723998	-0.535758838539
200	100	30.0	45.0	7.87027491962	-0.472196990184
300	100	30.0	45.0	9.57823255183	-0.399794060391
0	200	30.0	45.0	9.69186031873	-0.864766387584
100	200	30.0	45.0	9.88856037263	-0.843845277959
200	200	30.0	45.0	10.5805641777	-0.808855329544
300	200	30.0	45.0	11.6288690726	-0.755094468348
0	300	30.0	45.0	13.0650188049	-0.999751951189
100	300	30.0	45.0	13.3029352918	-1.00198684083
200	300	30.0	45.0	13.8010568971	-0.987292303114
300	300	30.0	45.0	14.5871790868	-0.965986745639
0	100	45.0	60.0	6.23803999084	-0.689363115075
100	100	45.0	60.0	6.76539060925	-0.646062807459
200	100	45.0	60.0	8.19889157927	-0.542328963464
300	100	45.0	60.0	10.1413558059	-0.446032415358
0	200	45.0	60.0	9.95942427208	-0.960945971723
100	200	45.0	60.0	10.1988813536	-0.944221741178
200	200	45.0	60.0	10.9651944026	-0.895736275548
300	200	45.0	60.0	12.1725411065	-0.82294500796
0	300	45.0	60.0	13.1816946961	-1.07806834557
100	300	45.0	60.0	13.379521628	-1.06210663686
200	300	45.0	60.0	13.9244017733	-1.02811904773
300	300	45.0	60.0	14.7836570396	-0.974886416596
0	100	60.0	75.0	6.47364445489	-0.759407743556
100	100	60.0	75.0	7.07484694573	-0.665447101508
200	100	60.0	75.0	8.68854431198	-0.528199269672
300	100	60.0	75.0	10.8772462406	-0.420367213441
0	200	60.0	75.0	9.66066435645	-0.93855335764
100	200	60.0	75.0	10.0653364097	-0.91801717663
200	200	60.0	75.0	11.1258781369	-0.860900201844
300	200	60.0	75.0	12.6637858463	-0.786068335446
0	300	60.0	75.0	13.4610819172	-1.15450972493
100	300	60.0	75.0	13.6300475428	-1.12779143129
200	300	60.0	75.0	14.1997689124	-1.0820883495
300	300	60.0	75.0	15.122869722	-1.02200718045
0	100	75.0	90.0	6.28058934315	-0.687592038438
100	100	75.0	90.0	6.85207695676	-0.612075257659
200	100	75.0	90.0	8.49372671314	-0.478747714039
300	100	75.0	90.0	10.7077854063	-0.37579376474
0	200	75.0	90.0	9.98737078266	-1.06815935028
100	200	75.0	90.0	10.3829025699	-1.08025999039
200	200	75.0	90.0	11.4342981072	-1.01904462476
300	200	75.0	90.0	12.9920595987	-0.921829983853
0	300	75.0	90.0	13.1970824816	-1.12983968598
100	300	75.0	90.0	13.5118107647	-1.08482393787
200	300	75.0	90.0	14.2853144665	-1.0178863145
300	300	75.0	90.0	15.4430002088	-0.942816311614
