vrot	vout	theta_lower	theta_upper	std	skw
50	25	0.0	15.0	4.38536744302	0.556880201527
50	50	0.0	15.0	4.54571994862	0.523434326239
50	75	0.0	15.0	5.15467279774	0.111681557802
50	25	15.0	30.0	4.33826866156	0.557957336159
50	50	15.0	30.0	4.54027309654	0.5188849186
50	75	15.0	30.0	5.00584493614	0.143029872983
50	25	30.0	45.0	4.43691922742	0.532685781255
50	50	30.0	45.0	4.63701371169	0.437612754354
50	75	30.0	45.0	5.11670158299	0.14332239004
50	25	45.0	60.0	4.46673908295	0.513295159257
50	50	45.0	60.0	4.63799267843	0.441096267889
50	75	45.0	60.0	5.09155131344	0.180201633973
50	25	60.0	75.0	4.5056914407	0.512879915825
50	50	60.0	75.0	4.69307733986	0.455492347816
50	75	60.0	75.0	4.98764558108	0.165585810186
50	25	75.0	90.0	4.55053696191	0.420775139986
50	50	75.0	90.0	4.69927499868	0.450080985934
50	75	75.0	90.0	5.08229257679	0.148993365558
