vrot	vout	theta_lower	theta_upper	std	skw	amplitude_neg	sigma_neg	center_neg	gamma_neg	amplitude_pos	sigma_pos	center_pos	gamma_pos
50	5	0.0	0.47588224966	15.6764829693	0.307478533541	8992.46632171	-19.0495047289	8.36043006157	0.544767051354	4004.90423508	12.9490082732	6.32411826217	0.446306606308
100	5	0.0	0.47588224966	15.7162272709	0.305610033141	8983.46136331	-21.9827080972	10.4184386052	1.41719598636	4003.63997038	11.5926344604	6.12810872739	1.39821138464
50	10	0.0	0.47588224966	14.9551832615	0.656935966463	9000.3300635	-18.2354045172	7.17139320465	0.365713554887	4022.53011433	10.7183303823	7.68044445206	1.41481313621
100	10	0.0	0.47588224966	14.9724584703	0.651839193717	8988.58442233	-15.4007444246	7.38242317987	-0.0766375627527	4007.48998517	7.15028923132	11.2253181257	4.07990540266
50	15	0.0	0.47588224966	14.060531099	0.935669241729	9019.07506289	-13.8676386099	7.63811196455	-0.906914482219	3987.44185275	6.73469421339	20.0224875038	7.38804310474
100	15	0.0	0.47588224966	14.0997104968	0.927732724147	9006.19853065	-20.2336180974	6.93872328887	0.692284805239	4007.59520781	5.63683046568	16.7687190047	7.02197781032
50	20	0.0	0.47588224966	12.9048841191	1.21154326314	9002.87618723	-17.4487355811	5.96730792336	-0.144240544258	4027.83618978	18.3391853772	30.3122004455	0.191457406815
100	20	0.0	0.47588224966	12.945131476	1.19930672732	8993.7669016	-18.3231801218	6.04172163302	-0.0636494147173	3992.46450463	3.93459906747	28.7400801147	2.99919992899
50	5	0.47588224966	0.679673818908	15.5411956866	0.363543577626	8979.15617319	-10.2973539787	8.87650745087	-1.15580521918	4002.45712628	17.9158510675	6.15852864903	-1.79379652301
100	5	0.47588224966	0.679673818908	15.6260528226	0.359057239736	8997.31513871	-15.6855967967	7.19914667013	-0.0201818615218	3992.11148132	11.4506131253	8.3824705323	1.97844078329
